,question,ans,blanks,a),b),c),d),e)
72311,Don't forget to add some sugar and _____ /sɔ:lt /. ,b,1,Don't forget to add some sugar and soap /sɔ:lt /.,Don't forget to add some sugar and salt /sɔ:lt /.,Don't forget to add some sugar and song /sɔ:lt /.,Don't forget to add some sugar and shape /sɔ:lt /.,
72312,Nanjing is a beautiful _____ . ,b,1,Nanjing is a beautiful country .,Nanjing is a beautiful city .,Nanjing is a beautiful town .,,
72313,Let _____ see. ,c,1,Let I see.,Let she see.,Let me see.,,
72314,"The football always reminds me of my mistake in that match, so I put it away somewhere out of my _____ . ",b,1,"The football always reminds me of my mistake in that match, so I put it away somewhere out of my scene .","The football always reminds me of my mistake in that match, so I put it away somewhere out of my sight .","The football always reminds me of my mistake in that match, so I put it away somewhere out of my view .","The football always reminds me of my mistake in that match, so I put it away somewhere out of my scenery .",
72315,"From this book, we know a lot _____ public signs. ",c,1,"From this book, we know a lot of public signs.","From this book, we know a lot with public signs.","From this book, we know a lot about public signs.",,
72316,The girl _____ red is my sister Tina. ,c,1,The girl on red is my sister Tina.,The girl of red is my sister Tina.,The girl in red is my sister Tina.,The girl of red is my sister Tina.,
72317,Sleeping in a strange bed was _____ awful experience. ,b,1,Sleeping in a strange bed was a awful experience.,Sleeping in a strange bed was an awful experience.,Sleeping in a strange bed was the awful experience.,,
72318,Tom usually takes _____ the rubbish. ,c,1,Tom usually takes to the rubbish.,Tom usually takes of the rubbish.,Tom usually takes out the rubbish.,,
72319,"In his new book, the writer has _____ from his usual poet style to a plainer manner. ",b,1,"In his new book, the writer has swapped from his usual poet style to a plainer manner.","In his new book, the writer has switched from his usual poet style to a plainer manner.","In his new book, the writer has shrunk from his usual poet style to a plainer manner.","In his new book, the writer has simplified from his usual poet style to a plainer manner.",
72320,"With the help of computers, news can _____ every corner of the world. ",d,1,"With the help of computers, news can get every corner of the world.","With the help of computers, news can arrive every corner of the world.","With the help of computers, news can return every corner of the world.","With the help of computers, news can reach every corner of the world.",
72321,Our teachers answer my questions from 7:00 _____ 9:00 online every evening. ,d,1,Our teachers answer my questions from 7:00 in 9:00 online every evening.,Our teachers answer my questions from 7:00 of 9:00 online every evening.,Our teachers answer my questions from 7:00 at 9:00 online every evening.,Our teachers answer my questions from 7:00 to 9:00 online every evening.,
72322,"Although the working mother is very busy, she still _____ a lot of time to her children. ",a,1,"Although the working mother is very busy, she still devotes a lot of time to her children.","Although the working mother is very busy, she still spends a lot of time to her children.","Although the working mother is very busy, she still supplies a lot of time to her children.","Although the working mother is very busy, she still provides a lot of time to her children.",
72323,I _____ a new bag. ,b,1,I has a new bag.,I have a new bag.,I am a new bag.,,
72324,Let _____ make a fruit salad. ,b,1,Let is make a fruit salad.,Let us make a fruit salad.,Let are make a fruit salad.,,
72325,"After coming home, I sat down in the kitchen and began _____ potatoes. ",b,1,"After coming home, I sat down in the kitchen and began piercing potatoes.","After coming home, I sat down in the kitchen and began peeling potatoes.","After coming home, I sat down in the kitchen and began polishing potatoes.",,
72326," _____ the way, which photo do you like best? ",c,1,"On the way, which photo do you like best?","In the way, which photo do you like best?","By the way, which photo do you like best?","For the way, which photo do you like best?",
72327,I don't want to give the _____ that I'm running away from the punishment. ,b,1,I don't want to give the description that I'm running away from the punishment.,I don't want to give the impression that I'm running away from the punishment.,I don't want to give the expression that I'm running away from the punishment.,I don't want to give the performance that I'm running away from the punishment.,
72328,The good news _____ us happy. ,b,1,The good news make us happy.,The good news makes us happy.,The good news keeps us happy.,The good news feels us happy.,
72329,It is often very hot here _____ summer. ,c,1,It is often very hot here at summer.,It is often very hot here on summer.,It is often very hot here in summer.,It is often very hot here to summer.,
72330,"There is lots of English _____ in this movie, we can learn English by watching it. ",a,1,"There is lots of English dialogue in this movie, we can learn English by watching it.","There is lots of English role in this movie, we can learn English by watching it.","There is lots of English value in this movie, we can learn English by watching it.","There is lots of English instrument in this movie, we can learn English by watching it.",
72331,Small children are interested in everything around _____ . ,b,1,Small children are interested in everything around they .,Small children are interested in everything around them .,Small children are interested in everything around their .,Small children are interested in everything around themselves .,
72332,The news _____ very important. ,c,1,The news / very important.,The news are very important.,The news is very important.,The news does very important.,
72333,"Hearing the call for help, Fred did not _____ for a second to save the drowning child. ",c,1,"Hearing the call for help, Fred did not interrupt for a second to save the drowning child.","Hearing the call for help, Fred did not reply for a second to save the drowning child.","Hearing the call for help, Fred did not hesitate for a second to save the drowning child.","Hearing the call for help, Fred did not glance for a second to save the drowning child.",
72334,He loves fishing in the sea. So he _____ go fishing.,b,1,He loves fishing in the sea. So he never go fishing.,He loves fishing in the sea. So he always go fishing.,He loves fishing in the sea. So he seldom go fishing.,,
72335,"A good teacher doesn't often say to the students,“Do what you are told and don't _____ with me. ",c,1,"A good teacher doesn't often say to the students,“Do what you are told and don't speak with me.","A good teacher doesn't often say to the students,“Do what you are told and don't talk with me.","A good teacher doesn't often say to the students,“Do what you are told and don't argue with me.","A good teacher doesn't often say to the students,“Do what you are told and don't cry with me.",
72336,I like helping my mother with _____ . ,d,1,I like helping my mother with color .,I like helping my mother with purple .,I like helping my mother with neighbor .,I like helping my mother with housework .,
72337,He is going back to his motherland soon because he couldn't get his visa _____ . ,b,1,He is going back to his motherland soon because he couldn't get his visa enlarged .,He is going back to his motherland soon because he couldn't get his visa extended .,He is going back to his motherland soon because he couldn't get his visa expanded .,He is going back to his motherland soon because he couldn't get his visa intended .,
72338,What's _____ name? ,b,1,What's he name?,What's his name?,What's she's name?,,
72339,Those thoughts are crazy and not worth thinking about so you might as well _____ them from your mind. ,d,1,Those thoughts are crazy and not worth thinking about so you might as well recover them from your mind.,Those thoughts are crazy and not worth thinking about so you might as well protect them from your mind.,Those thoughts are crazy and not worth thinking about so you might as well distinguish them from your mind.,Those thoughts are crazy and not worth thinking about so you might as well dismiss them from your mind.,
72340,Do your grandparents like _____ seafood? ,c,1,Do your grandparents like many seafood?,Do your grandparents like some seafood?,Do your grandparents like any seafood?,,
72341,Be sure to read the _____ in the guidebook before you begin to use the new computer. ,a,1,Be sure to read the instructions in the guidebook before you begin to use the new computer.,Be sure to read the solution in the guidebook before you begin to use the new computer.,Be sure to read the descriptions in the guidebook before you begin to use the new computer.,Be sure to read the message in the guidebook before you begin to use the new computer.,
72342,"Sorry, I _____ like comic books. ",c,1,"Sorry, I am like comic books.","Sorry, I not like comic books.","Sorry, I don't like comic books.",,
72343,I _____ this book last year. I thought it was very boring.,c,1,I looked this book last year. I thought it was very boring.,I saw this book last year. I thought it was very boring.,I read this book last year. I thought it was very boring.,I watched this book last year. I thought it was very boring.,
72344,He is _____ to saying that we are the future masters of China. ,a,1,He is accustomed to saying that we are the future masters of China.,He is abused to saying that we are the future masters of China.,He is accountable to saying that we are the future masters of China.,He is acquainted to saying that we are the future masters of China.,
72345,I saw him _____ out of the window. ,c,1,I saw him jumping out of the window.,I saw him jumps out of the window.,I saw him jump out of the window.,,
72346,_____ bothers me is that the young man seems to know a bit too much.,b,1,Whether bothers me is that the young man seems to know a bit too much.,What bothers me is that the young man seems to know a bit too much.,Which bothers me is that the young man seems to know a bit too much.,That bothers me is that the young man seems to know a bit too much.,
72347,They are not in the same _____ . ,a,1,They are not in the same class .,They are not in the same classes .,They are not in the same families .,,
72348,You should make it a rule to leave things _____ you can find them again. ,b,1,You should make it a rule to leave things when you can find them again.,You should make it a rule to leave things where you can find them again.,You should make it a rule to leave things then you can find them again.,You should make it a rule to leave things there you can find them again.,
72349,How many vegetables _____ Karen got?,a,1,How many vegetables has Karen got?,How many vegetables have Karen got?,How many vegetables having Karen got?,,
72350,Mom is cooking dinner. It _____ so nice.,a,1,Mom is cooking dinner. It smells so nice.,Mom is cooking dinner. It tastes so nice.,Mom is cooking dinner. It feels so nice.,Mom is cooking dinner. It sounds so nice.,
72351,These pants are my _____ . ,b,1,These pants are my Lily's .,These pants are my brother's .,These pants are my teacher .,,
72352,Tom Hanks is a great actor and we love _____ movies.,b,1,Tom Hanks is a great actor and we love he movies.,Tom Hanks is a great actor and we love his movies.,Tom Hanks is a great actor and we love him movies.,Tom Hanks is a great actor and we love himself movies.,
72353,You can see many _____ on the farm. ,b,1,You can see many pig on the farm.,You can see many sheep on the farm.,You can see many chicken on the farm.,,
72354,"I can swim, but he _____ . ",a,1,"I can swim, but he can't .","I can swim, but he can .","I can swim, but he don't .",,
72355,What's that _____ English? ,c,1,What's that at English?,What's that to English?,What's that in English?,What's that is English?,
72356,I want to have some noodles _____ super. ,c,1,I want to have some noodles to super.,I want to have some noodles at super.,I want to have some noodles for super.,I want to have some noodles with super.,
72357,Do you want to be a farmer _____ your mother?,a,1,Do you want to be a farmer like your mother?,Do you want to be a farmer love your mother?,Do you want to be a farmer look your mother?,,
72358,Why did you _____ /θrəʊ/ the rubbish on the ground? ,c,1,Why did you grow /θrəʊ/ the rubbish on the ground?,Why did you group /θrəʊ/ the rubbish on the ground?,Why did you throw /θrəʊ/ the rubbish on the ground?,Why did you through /θrəʊ/ the rubbish on the ground?,
72359,How can the mouse _____ the lion? ,c,1,How can the mouse helping the lion?,How can the mouse helps the lion?,How can the mouse help the lion?,,
72360,This question is _____ not easy .,d,1,This question is dark not easy .,This question is funny not easy .,This question is interesting not easy .,This question is difficult not easy .,
72361,Maybe the policeman knows the way _____ the post office. ,c,1,Maybe the policeman knows the way of the post office.,Maybe the policeman knows the way on the post office.,Maybe the policeman knows the way to the post office.,Maybe the policeman knows the way for the post office.,
72362,These are my pants. His _____ yellow.,c,1,These are my pants. His is yellow.,These are my pants. His am yellow.,These are my pants. His are yellow.,These are my pants. His / yellow.,
72363,Tom _____ TV every night. ,c,1,Tom watch TV every night.,Tom watchs TV every night.,Tom watches TV every night.,,
72364,I _____ at school just now. ,a,1,I was at school just now.,I am at school just now.,I were at school just now.,,
72365,Come and _____ my family. ,c,1,Come and look my family.,Come and looking my family.,Come and meet my family.,,
72366,"At the museum, I learned a lot _____ robots. ",b,1,"At the museum, I learned a lot at robots.","At the museum, I learned a lot about robots.","At the museum, I learned a lot to robots.","At the museum, I learned a lot for robots.",
72367,We brush our teeth twice _____ day. ,a,1,We brush our teeth twice a day.,We brush our teeth twice an day.,We brush our teeth twice the day.,,
72368,"If you really want to make a(n) _____ to him, you should say sorry. ",b,1,"If you really want to make a(n) excuse to him, you should say sorry.","If you really want to make a(n) apology to him, you should say sorry.","If you really want to make a(n) mark to him, you should say sorry.",,
72369,Be careful when you _____ that jug. ,b,1,Be careful when you pour that jug.,Be careful when you handle that jug.,Be careful when you operate that jug.,Be careful when you employ that jug.,
72370,"The children ran to the teacher, _____ some flowers in their hands. ",c,1,"The children ran to the teacher, has some flowers in their hands.","The children ran to the teacher, have some flowers in their hands.","The children ran to the teacher, with some flowers in their hands.","The children ran to the teacher, had some flowers in their hands.",
72371,Stop making so much _____ . The children are sleeping.,b,1,Stop making so much voice . The children are sleeping.,Stop making so much noise . The children are sleeping.,Stop making so much sound . The children are sleeping.,Stop making so much cries . The children are sleeping.,
72372,Paul is my aunt's husband. He is my _____ .,a,1,Paul is my aunt's husband. He is my uncle .,Paul is my aunt's husband. He is my brother .,Paul is my aunt's husband. He is my grandfather .,Paul is my aunt's husband. He is my cousin .,
72373,He was _____ work on the mountain. ,a,1,He was at work on the mountain.,He was in work on the mountain.,He was do work on the mountain.,,
72374,_____ Mrs. Chen worried about Jiamin's study?,a,1,Is Mrs. Chen worried about Jiamin's study?,Does Mrs. Chen worried about Jiamin's study?,Are Mrs. Chen worried about Jiamin's study?,,
72375,The British people feel quite _____ while expecting their prince's wedding. ,a,1,The British people feel quite excited while expecting their prince's wedding.,The British people feel quite excitedly while expecting their prince's wedding.,The British people feel quite exciting while expecting their prince's wedding.,The British people feel quite excitement while expecting their prince's wedding.,
72376, _____ is spoken the most widely in the world. ,b,1,Chinese is spoken the most widely in the world.,English is spoken the most widely in the world.,French is spoken the most widely in the world.,Russian is spoken the most widely in the world.,
72377, _____ for the first time was a wonderful experience. ,b,1,Fliing for the first time was a wonderful experience.,Flying for the first time was a wonderful experience.,Flew for the first time was a wonderful experience.,,
72378,Iam talking _____ you. ,b,1,Iam talking for you.,Iam talking to you.,Iam talking on you.,,
72379,We can use a _____ for soup. ,a,1,We can use a spoon for soup.,We can use a chopsticks for soup.,We can use a knife for soup.,,
72380,No country could seek development on its own; and one sure path is through unity and _____ . ,b,1,No country could seek development on its own; and one sure path is through unity and evolution .,No country could seek development on its own; and one sure path is through unity and cooperation .,No country could seek development on its own; and one sure path is through unity and satisfaction .,No country could seek development on its own; and one sure path is through unity and impression .,
72381,I was born _____ the year of the dragon. ,c,1,I was born at the year of the dragon.,I was born on the year of the dragon.,I was born in the year of the dragon.,,
72382,Please tell me one _____ them. ,a,1,Please tell me one of them.,Please tell me one with them.,Please tell me one on them.,,
72383,"Help others whenever you can, _____ you will make the world a nicer place to live in. ",c,1,"Help others whenever you can, or you will make the world a nicer place to live in.","Help others whenever you can, if you will make the world a nicer place to live in.","Help others whenever you can, and you will make the world a nicer place to live in.","Help others whenever you can, but you will make the world a nicer place to live in.",
72384,I'm late _____ class. ,d,1,I'm late in class.,I'm late on class.,I'm late at class.,I'm late for class.,
72385,Jack is late again. It is _____ of him to keep others waiting.,b,1,Jack is late again. It is normal of him to keep others waiting.,Jack is late again. It is typical of him to keep others waiting.,Jack is late again. It is common of him to keep others waiting.,Jack is late again. It is ordinary of him to keep others waiting.,
72386,Spring is coming. There _____ many beautiful flowers along the streets.,c,1,Spring is coming. There have many beautiful flowers along the streets.,Spring is coming. There has many beautiful flowers along the streets.,Spring is coming. There are many beautiful flowers along the streets.,Spring is coming. There is many beautiful flowers along the streets.,
72387,He is very tired. _____ he goes on working.,a,1,He is very tired. But he goes on working.,He is very tired. Though he goes on working.,He is very tired. Because he goes on working.,He is very tired. So he goes on working.,
72388,You will bring the blame of others upon yourself if you fail _____ this. ,a,1,You will bring the blame of others upon yourself if you fail in this.,You will bring the blame of others upon yourself if you fail on this.,You will bring the blame of others upon yourself if you fail from this.,You will bring the blame of others upon yourself if you fail of this.,
72389,He _____ happy. ,a,1,He is happy.,He are happy.,He am happy.,He have happy.,
72390,The actor _____ us greatly with his wonderful performance and excellent English. ,b,1,The actor moved us greatly with his wonderful performance and excellent English.,The actor interested us greatly with his wonderful performance and excellent English.,The actor impressed us greatly with his wonderful performance and excellent English.,The actor touched us greatly with his wonderful performance and excellent English.,
72391,It's _____ today. I need these gloves.,c,1,It's warm today. I need these gloves.,It's fine today. I need these gloves.,It's cold today. I need these gloves.,It's hot today. I need these gloves.,
72392,My mum and dad played _____ the concert. ,b,1,My mum and dad played to the concert.,My mum and dad played on the concert.,My mum and dad played in the concert.,,
72393,He killed the monster _____ a knife. ,b,1,He killed the monster by a knife.,He killed the monster with a knife.,He killed the monster through a knife.,He killed the monster in a knife.,
72394,I want to play _____ football outside. ,b,1,I want to play a football outside.,I want to play / football outside.,I want to play the football outside.,,
72395,"It was a nice meal, _____ a little expensive. ",a,1,"It was a nice meal, though a little expensive.","It was a nice meal, whether a little expensive.","It was a nice meal, as a little expensive.","It was a nice meal, since a little expensive.",
72396,I know _____ Italian restaurant. ,b,1,I know a Italian restaurant.,I know an Italian restaurant.,I know / Italian restaurant.,,
72397,"It is raining, _____ take an umbrella with you. ",a,1,"It is raining, so take an umbrella with you.","It is raining, and take an umbrella with you.","It is raining, or take an umbrella with you.","It is raining, but take an umbrella with you.",
72398, _____ your parents at home last week?,c,1,Is your parents at home last week?,Was your parents at home last week?,Were your parents at home last week?,,
72399,Stephen and Claire told me （that） they _____ cleaned the classroom. ,b,1,Stephen and Claire told me （that） they have cleaned the classroom.,Stephen and Claire told me （that） they had cleaned the classroom.,Stephen and Claire told me （that） they were cleaned the classroom.,,
72400,Lily and Lucy _____ in this middle school. ,d,1,Lily and Lucy be in this middle school.,Lily and Lucy is in this middle school.,Lily and Lucy am in this middle school.,Lily and Lucy are in this middle school.,
72401,The snowy weather has caused _____ on the roads. ,c,1,The snowy weather has caused sweat on the roads.,The snowy weather has caused anger on the roads.,The snowy weather has caused chaos on the roads.,,
72402,We will have to operate _____ his eyes. ,b,1,We will have to operate in his eyes.,We will have to operate on his eyes.,We will have to operate for his eyes.,We will have to operate with his eyes.,
72403,I'm sorry I didn't call you. I didn't find _____ phone number.,c,1,I'm sorry I didn't call you. I didn't find my phone number.,I'm sorry I didn't call you. I didn't find his phone number.,I'm sorry I didn't call you. I didn't find your phone number.,I'm sorry I didn't call you. I didn't find her phone number.,
72404,This is the reason _____ they are all against the plan. ,c,1,This is the reason which they are all against the plan.,This is the reason that they are all against the plan.,This is the reason why they are all against the plan.,This is the reason what they are all against the plan.,
72405, _____ this your ball? ,b,1,Am this your ball?,Is this your ball?,Are this your ball?,,
72406,A _____ man wears a kit. ,a,1,A Scottish man wears a kit.,A American man wears a kit.,A Chinese man wears a kit.,A English man wears a kit.,
72407,Look _____ that clock. ,a,1,Look at that clock.,Look in that clock.,Look on that clock.,,
72408,My father goes to work _____ car. ,d,1,My father goes to work on car.,My father goes to work in car.,My father goes to work with car.,My father goes to work by car.,
72409,The rabbit is _____ . Because the fox's sharp teeth make it nervous.,d,1,The rabbit is clear . Because the fox's sharp teeth make it nervous.,The rabbit is lively . Because the fox's sharp teeth make it nervous.,The rabbit is wonderful . Because the fox's sharp teeth make it nervous.,The rabbit is scared . Because the fox's sharp teeth make it nervous.,
72410,Please _____ the meat into three pieces. ,b,1,Please mix the meat into three pieces.,Please cut the meat into three pieces.,Please plant the meat into three pieces.,,
72411,We all know learning a language _____ time and effort. ,c,1,We all know learning a language reduces time and effort.,We all know learning a language removes time and effort.,We all know learning a language requires time and effort.,,
72412,The shopkeeper did not want to sell for _____ he thought was not enough.,c,1,The shopkeeper did not want to sell for where he thought was not enough.,The shopkeeper did not want to sell for how he thought was not enough.,The shopkeeper did not want to sell for what he thought was not enough.,The shopkeeper did not want to sell for which he thought was not enough.,
72413,"I _____ maths, English and music. ",b,1,"I has maths, English and music.","I have maths, English and music.","I am maths, English and music.",,
72414,"It may take a while _____ you find a hobby that truly interests yourself, so don't give up. ",b,1,"It may take a while that you find a hobby that truly interests yourself, so don't give up.","It may take a while before you find a hobby that truly interests yourself, so don't give up.","It may take a while unless you find a hobby that truly interests yourself, so don't give up.","It may take a while since you find a hobby that truly interests yourself, so don't give up.",
72415,The girl is _____ beautiful. ,a,1,The girl is / beautiful.,The girl is dance beautiful.,The girl is dances beautiful.,The girl is dancing beautiful.,
72416,"Help _____ to some fruit, Jim. ",c,1,"Help you to some fruit, Jim.","Help me to some fruit, Jim.","Help yourself to some fruit, Jim.","Help yourselves to some fruit, Jim.",
72417,"In order to stand out among all the trainers, you need to sharpen your skills _____ you feel strong and confident. ",b,1,"In order to stand out among all the trainers, you need to sharpen your skills that you feel strong and confident.","In order to stand out among all the trainers, you need to sharpen your skills where you feel strong and confident.","In order to stand out among all the trainers, you need to sharpen your skills when you feel strong and confident.","In order to stand out among all the trainers, you need to sharpen your skills what you feel strong and confident.",
72418,When did you see the lovely squirrel _____ the first time? ,b,1,When did you see the lovely squirrel at the first time?,When did you see the lovely squirrel for the first time?,When did you see the lovely squirrel in the first time?,When did you see the lovely squirrel on the first time?,
72419,This is _____ ID card. ,a,1,This is an ID card.,This is a ID card.,This is the ID card.,This is / ID card.,
72420,My parents graduated from this university; that's _____ I insisted on applying for it. ,b,1,My parents graduated from this university; that's which I insisted on applying for it.,My parents graduated from this university; that's why I insisted on applying for it.,My parents graduated from this university; that's what I insisted on applying for it.,My parents graduated from this university; that's where I insisted on applying for it.,
72421,There are lots of planes on the _____ . ,c,1,There are lots of planes on the air .,There are lots of planes on the trees .,There are lots of planes on the airfield .,,
72422,They are _____ to win. ,c,1,They are boundary to win.,They are incline to win.,They are destined to win.,They are bow to win.,
72423,I usually achieve _____ A grade in physics because I am good at it. ,b,1,I usually achieve a A grade in physics because I am good at it.,I usually achieve an A grade in physics because I am good at it.,I usually achieve the A grade in physics because I am good at it.,I usually achieve / A grade in physics because I am good at it.,
72424,"This programme is a _____ TV show, so you can call the station directly to vote for your favourite singer.",c,1,"This programme is a alive TV show, so you can call the station directly to vote for your favourite singer.","This programme is a lively TV show, so you can call the station directly to vote for your favourite singer.","This programme is a live TV show, so you can call the station directly to vote for your favourite singer.","This programme is a lovely TV show, so you can call the station directly to vote for your favourite singer.",
72425,He came at a time _____ we were badly in need of help. ,a,1,He came at a time when we were badly in need of help.,He came at a time which we were badly in need of help.,He came at a time that we were badly in need of help.,He came at a time where we were badly in need of help.,
72426,"Learn to smile. A smile costs _____ , but gives so much.",b,1,"Learn to smile. A smile costs nobody , but gives so much.","Learn to smile. A smile costs nothing , but gives so much.","Learn to smile. A smile costs anything , but gives so much.","Learn to smile. A smile costs everything , but gives so much.",
72427,China is famous _____ The Great Wall. ,c,1,China is famous in The Great Wall.,China is famous on The Great Wall.,China is famous for The Great Wall.,China is famous at The Great Wall.,
72428,I have a toy _____ and a plane. ,c,1,I have a toy tran and a plane.,I have a toy tain and a plane.,I have a toy train and a plane.,,
72429,I'm Jack Brown. Jack is my _____ name.,c,1,I'm Jack Brown. Jack is my English name.,I'm Jack Brown. Jack is my family name.,I'm Jack Brown. Jack is my first name.,I'm Jack Brown. Jack is my last name.,
72430,"I offered to help Lily clean the room, but she _____ . ",d,1,"I offered to help Lily clean the room, but she received .","I offered to help Lily clean the room, but she renewed .","I offered to help Lily clean the room, but she reviewed .","I offered to help Lily clean the room, but she refused .",
72431, _____ me your phone number again. ,c,1,Need me your phone number again.,Want me your phone number again.,Tell me your phone number again.,Cut me your phone number again.,
72432,I felt happy _____ I was tired. ,b,1,I felt happy because I was tired.,I felt happy although I was tired.,I felt happy so I was tired.,I felt happy if I was tired.,
72433,The family _____ watching TV. ,a,1,The family are watching TV.,The family is watching TV.,The family be watching TV.,The family am watching TV.,
72434,"Make a list of the questions you want to ask. _____ , you may forget some of them in a short time.",c,1,"Make a list of the questions you want to ask. However , you may forget some of them in a short time.","Make a list of the questions you want to ask. Moreover , you may forget some of them in a short time.","Make a list of the questions you want to ask. Otherwise , you may forget some of them in a short time.","Make a list of the questions you want to ask. Anyway , you may forget some of them in a short time.",
72435,You look tired. I think you _____ lie down and rest.,d,1,You look tired. I think you shouldn't lie down and rest.,You look tired. I think you won't lie down and rest.,You look tired. I think you will lie down and rest.,You look tired. I think you should lie down and rest.,
72436,Don't walk _____ the rain forest. It's clangorous.,b,1,Don't walk across the rain forest. It's clangorous.,Don't walk through the rain forest. It's clangorous.,Don't walk from the rain forest. It's clangorous.,Don't walk cross the rain forest. It's clangorous.,
72437,Amy is _____ the kitchen. ,c,1,Amy is at the kitchen.,Amy is to the kitchen.,Amy is in the kitchen.,,
72438, _____ hotel is very expensive. ,a,1,That hotel is very expensive.,Those hotel is very expensive.,These hotel is very expensive.,,
72439,There _____ some mice in the house. ,b,1,There is some mice in the house.,There are some mice in the house.,There has some mice in the house.,,
72440,_____ open the window. It is raining.,c,1,Not open the window. It is raining.,No open the window. It is raining.,Don't open the window. It is raining.,,
72441,The shorts _____ cheap. ,b,1,The shorts looks cheap.,The shorts are cheap.,The shorts is cheap.,,
72442,This is the ship we travelled _____ boad. ,d,1,This is the ship we travelled / boad.,This is the ship we travelled in boad.,This is the ship we travelled by boad.,This is the ship we travelled on boad.,
72443,There are some _____ in the box. ,a,1,There are some eggs in the box.,There are some bread in the box.,There are some milk in the box.,,
72444,I like the photo of my father _____ games with us best. ,d,1,I like the photo of my father play games with us best.,I like the photo of my father played games with us best.,I like the photo of my father plays games with us best.,I like the photo of my father playing games with us best.,
72445,"We have to go now, David. Let's _____ goodbye to Grandpa.",c,1,"We have to go now, David. Let's tell goodbye to Grandpa.","We have to go now, David. Let's speak goodbye to Grandpa.","We have to go now, David. Let's say goodbye to Grandpa.",,
72446,There isn't _____ water in the glass. ,b,1,There isn't some water in the glass.,There isn't any water in the glass.,There isn't a water in the glass.,,
